context,response,label,explanation
황혼이혼의 증가와 그로 인한 부부 간의 희생과 소통의 중요성에 대한 대화,"아, 결국 황혼이혼은 새로운 노후 준비 프로그램인 모양이네요. 기대되는군요.",Sarcasm,"이 문장은 황혼이혼을 긍정적으로 드러내는 것처럼 보이지만, 실제로는 그 문제의 심각성을 비꼬아 지적하고 있어 사쓰즘이 발생하고 있습니다."
황혼이혼의 증가와 그로 인한 부부 간의 희생과 소통의 중요성에 대한 대화,"황혼이혼이 증가하는 걸 보니, 부부 간의 소통과 이해가 정말 중요한 것 같아요.",Non-sarcasm,이 문장은 황혼이혼의 증가에 대해 진지하게 반응하며 부부 간의 소통과 이해의 중요성을 강조하고 있어 비꼬는 톤이 전혀 느껴지지 않습니다.
"A: 이런 환절기 날씨 때문에 기분이 참 뒤숭숭하네요.
B: 왜요? 여름과 가을 사이라서요?
A: 네, 그렇습니다. 아침은 선선해서 긴팔을 입고 나가면 낮에는 더워서 땀이 나고, 저녁에는 다시 선선해져서 추워지니까요.",B: 그렇게 옷을 많이 갖고 다녀야겠네요.,Non-Sarcasm,이 대화는 상대방의 기분에 대한 진지한 공감과 날씨 변화에 대한 실제 경험을 나누고 있어 비꼬지 않고 진정한 의사소통이 이루어졌다. B의 대답도 A의 감정을 인정하면서 실질적인 조언을 하고 있어 진지한 대화로 해석된다.
"A: 휴가 잘 보내?
B: 응. 근데 날씨가 너무 안 좋아서 별로야.
A: 그런데, 날씨가 휴가를 망치는 건 아니잖아. 여행의 진짜 즐거움은 그게 아니라고.
B: 그래도 좋은 날씨에 해변에서 놀다가 맛있는 음식도 먹고 싶었는데, 이 비 때문에 그런 건 다 못했어.","A: 우와, 비를 좋아하는 사람이라면 정말 좋았겠는걸.",Non-Sarcasm,"A의 대답은 B의 감정을 이해하지 않고 비꼬는 것이 아니라, 실제로 B의 입장을 감안한 진지한 반응을 보여준다. A는 B의 기대와 현실을 비교하며 대화를 이어가고 있기 때문에 비꼬지 않고 적극적으로 소통하고 있음을 알 수 있다."
"B: 미국 여행 잘 다녀오셨나요?
A: 네, 잘 다녀왔습니다. 특히 놀이공원의 롤러코스터가 정말 재미있었어요.
B: 그렇군요. 그런데 롤러코스터는 무서운 걸로 알고 있는데요?
A: 처음에는 조금 무서웠지만, 익숙해지니까 정말 재미있더라고요.
B: 그리고 미국에서는 어떤 음식을 즐기셨나요?
A: 저는 주로 패스트푸드를 많이 먹었습니다. 햄버거나 피자 같은 거요.","B: 오, 정말 건강에 좋은 음식들을 많이 즐기셨군요.",Sarcasm,"패스트푸드는 건강에 좋지 않다는 사실을 알고 있음에도 불구하고, 상대방이 패스트푸드를 즐겼다는 것을 건강에 좋은 음식을 즐겼다고 비꼬아 말한다."
"B: 이번 주도 역시나 많이 바쁘시군요. 오늘도 야근하실 계획이신가요?
A: 그렇습니다. 제가 맡은 프로젝트가 조금 복잡해서 이번 주 내내 야근할 것 같습니다.
B: 그렇군요. 퇴근 시간이 언제쯤 되실 것 같으세요?
A: 아마 밤 12시가 넘어야 끝날 것 같습니다.","B: 아, 그러니까 일찍 퇴근하시는군요.",Sarcasm,"상대방이 매일 밤 12시가 넘어서야 퇴근한다는 것을 듣고, 이를 마치 일찍 퇴근하는 것처럼 비꼬아 말한다."
"B: 그때 생각나? 고등학교 때 영업당한 거.
A: 아, 맞아. 그런 기억이 날 들면 진짜 웃긴다니까.
B: 아니 어떻게 통계 학원을 영업하면서 ""통계는 어렵지 않아요""라고 말해?
A: 아니 그게 말이야, 그건 뭐 그냥 영업사원이 잘못된 표현을 썼을 뿐이지.","B: 아, 너무 쉬워서 심심했겠다.",Sarcasm,A가 B에게 복잡하고 어려운 통계를 쉽다고 하는 영업사원의 말을 비꼬아 말한다.
"B: 이번 주말에 식사 어디서 하실 계획이세요?
A: 아직 정해진 건 없지만, 해산물이나 고기를 생각하고 있습니다.
B: 그럼 회는 어떠세요? 해산물 중에서도 많은 사람들이 좋아하잖아요.
A: 아, 저는 해산물은 좋아하지만 회는 별로 좋아하지 않습니다.","B: 해산물을 좋아하는데 회는 별로라니, 그것도 참 특이하신 선호도네요.",Sarcasm,"회는 해산물인데, 그것을 별로 좋아하지 않는다고 했으므로, 그 부분을 긍정적으로 비꼬아 말한다."
"A: 저녁에는 무엇을 드실 예정이세요?
B: 어제 고구마를 너무 많이 먹어서, 오늘은 좀 가볍게 해야겠어요. 아마도 아이들이 남긴 밥을 먹을 것 같아요.
A: 그럼 점심에는 어떤 메뉴를 추천드릴까요?
B: 아침에 머핀과 우유를 마셔서 이미 배가 차 있어요.","A: 아, 그러니까 완전히 한 끼를 대신하셨군요.",Sarcasm,"B가 아침에 머핀과 우유를 마셔서 배가 차 있다고 했을 때, 그것이 아침식사로 충분하지 않다는 것을 암시하면서 농담한다."
"B: 스위치 게임을 주로 어떤 걸 하시나요?
A: 저는 주로 모동 숲을 많이 해요. 가끔 다른 게임들도 구경하거나 포켓몬을 즐기기도 하죠.
B: 아하, 그럼 스위치를 처음 사게 된 계기가 무엇이었나요?
A: 그건 역시 모동 숲 때문이었어요. 근데 요즘에는 잘 안 하고 있어서 팔까 고민 중이에요.",B: 스위치를 사는 게 이렇게 간단한 결정일 줄 몰랐네요.,Sarcasm,"스위치를 사게 된 이유가 모동 숲이었지만, 요즘에는 잘 안 하고 있다는 B의 말에 실제로는 부정적인 상황인데, 이 상황을 긍정적인 방향으로 비꼬아 말한다."
"B: 최근에 결혼을 생각해 보시나요?
A: 네, 사실 그렇습니다. 하지만 현실이 그리 달콤하지만은 않아요.
B: 어떤 부분이 가장 어렵게 느껴지시나요?
A: 뭐니 뭐니 해도 경제적인 부분이 제일 어렵습니다. 생각보다 결혼비용이 많이 드네요.","B: 아, 그래서 결혼은 투자의 일환인가 보군요.",Sarcasm,경제적인 부분에서 어려움을 겪고 있는 B의 상황을 긍정적인 방향으로 비꼬아 말한다.
"A: 와 오늘 비 완전 많이 오네. 시원해진 것 같아?
B: 응. 더워서 힘들었는데 시원해서 좋다.
A: 가을 옷도 사야겠다. 너는 이미 쇼핑 다 했어?
B: 아니 나는 아직인데, 너무 일찍 사서 어디에다 두지?
A: 그래도 겨울 준비는 해야지.","B: 응, 이제 겨울 준비를 시작해야겠네. 바로 눈사람 만들러 갈까?",Sarcasm,"A가 겨울 준비를 해야 한다는 말에 대해 B는 실제로는 계절이 아직 가을인데 너무 이른 것 같다는 생각을 하고 있지만, 그것을 긍정적인 것처럼 비꼬아 말한다."
"A: 이번 달도 정말 바쁘게 보내셨나요?
B: 네, 연말이다 보니 일이 계속 쌓이더라고요.
A: 아, 그래서 늦게까지 일하셨군요. 
B: 네, 이번 달은 정말 힘들었어요. 아무래도 월말이라 그런 것 같아요.","A: 아, 그러니까 담 달 초에는 일이 없겠네요.",Non-Sarcasm,"이 대화는 상대방의 상황에 대해 진지하게 공감하고 있으며, 비꼬는 어조나 반어적인 표현이 전혀 없기 때문에 non-sarcasm이다. B가 힘든 상황을 이야기하며 A가 그에 대한 이해를 보이는 방식이 직접적이고 진솔하다."
"A: 회사가 어디에 위치해 있으세요?
B: 저희 회사는 서울 중심부에 위치해 있습니다. 그런데 제가 살고 있는 집은 부산이라서 출퇴근이 좀 힘들어요.
A: 그렇군요, 그럼 매일 서울에서 부산까지 왕복하시는 건가요?
B: 네, 맞습니다. 좀 멀긴 하지만, 저에게는 이게 최선의 선택이었습니다.",A: 워낙 짧은 거리니까 별로 힘들진 않겠네요.,Sarcasm,상대방이 매일 서울에서 부산까지 출퇴근하는 것을 힘들지 않다고 생각하는 것처럼 비꼬아 말한다.
"B: 요즘 홈트레이닝 어떻게 진행하시나요?
A: 하루에 30분씩, 이미 2달 이상 꾸준히 해오고 있어요.
B: 그럼 홈트레이닝에 익숙해져서 더 빡세게 느끼지 못하시는 건가요?
A: 그런 것 같아요. 이제 좀 더 강도 높은 운동을 찾아봐야겠어요.","B: 아, 진짜요? 이제 스포츠 선수로 전향하시려나 봐요.",Sarcasm,"상대방이 강도 높은 운동을 찾아보려고 한다는 것에 대해, 실제로는 부정적인 상황인데 이를 긍정적으로 비꼬아 말한다."
"B: 피자나 치킨 둘 중에 어떤 것을 좋아하십니까?
A: 저는 치킨을 좋아합니다. 그런데 제가 살고 있는 곳에는 맛있는 치킨집이 없어서 항상 배달을 시켜 먹어야 해요.
B: 그렇군요, 제가 아는 치킨집이 있는데 거기서 배달도 하니 한번 시켜보세요.","A: 그렇군요, 그럼 거기서 한번 시켜볼게요. 그런데 배달 거리가 멀지 않을까요?",Non-Sarcasm,"이 대화는 상대방의 질문에 대해 진지하게 자신의 취향을 털어놓고, 상대방이 제안한 치킨집에 대해 실제로 시켜볼 의사를 표명하는 내용이기 때문에 non-sarcasm이다. 서로의 의견을 존중하며 소통하고 있는 모습이 드러난다."
"B: 인피니트와 빅스의 노래를 좋아하시나요?
A: 네, 둘 다 좋아합니다. 특히, 앨범을 통째로 듣는 것을 좋아합니다.
B: 아, 그렇군요. 그런데 노래를 통째로 듣는 것에는 어려움이 없으신가요?
A: 사실 가끔은 시간이 부족해서 전체 앨범을 듣지 못하는 경우가 있습니다.",B: 그럼 너무 시간이 많아서 할 일이 없겠군요.,Sarcasm,사실 전체 앨범을 듣는 것은 시간적인 부분 때문에 어려울 수 있다. 이 상황에서는 상대방이 시간적인 부분을 핑계로 앨범을 듣지 않는 것을 시간이 많아서 할 일이 없다고 비꼬아 말한다.
"B: 요즘 종교에 대해 어떻게 생각하시나요?
A: 아니, 굳이 그런 걸 물어보시는 이유가 있나요?
B: 아니요, 그냥 당신의 의견이 궁금해서 물어봤을 뿐입니다.
A: 저는 그냥 사람들이 너무 강요하는 것 같아서 싫어요.","B: 아하, 그러니까 당신은 종교를 강요받는 걸 좋아하시는군요.",Sarcasm,"상대방이 종교를 강요하는 것을 싫어한다고 했을 때, 그 상황을 마치 좋아하는 것처럼 비꼬아 말한다."
"A: 닥터마틴 군화를 보셨어요? 
B: 아, 그 군화 봤어. 사람들이 많이 신더라. 
A: 그 군화는 디자인도 멋있고, 튼튼하다고 해요.
B: 근데 그거 신으면 편한가?
A: 처음엔 좀 아프다는 소리를 들었어요.","B: 아, 그러니까 건강을 위해 발에 마사지를 주는 거구나!",Sarcasm,"닥터마틴 군화가 처음에는 아프다는 말에 대해, 그것을 농담처럼 표현하여 말한다."
"A: 주말에 어떤 활동을 하셨나요?
B: 저는 주로 강아지와 함께 산책을 하거나 놀이터에서 놀아요. 그런데 이번 주말에는 비가 와서 잘나가지 못했어요.
A: 아, 그럼 어떻게 시간을 보내셨나요?
B: 차에서 강아지와 함께 노는 시간을 가졌어요. 차 안에서도 충분히 재미있게 놀 수 있더라고요.","A: 차 안에서 그렇게 다양한 활동이 가능하다니, 정말 놀랍네요.",Non-Sarcasm,"이 대화는 두 사람이 서로의 경험에 대해 진지하게 질문하고 답변하며, 강아지와 함께 시간을 보내는 방법에 대해 긍정적인 반응을 보이고 있어서 비꼬거나 풍자하는 것이 아니다. A는 B의 대답에 진정한 흥미를 가지고 반응했기 때문에 non-sarcasm이다."
"A: 여행 가려고 이번에 괌 어때?
B: 그래 괌 좋아. 날씨도 좋고, 바다도 좋고.
A: 그럼 여행지는 어디로 할까?
B: 그러게 나도 생각 중이야. 아무래도 해변가가 좋을 것 같아.
A: 숙박 시설은 어떻게 할래?
B: 그냥 가서 볼게. 너무 비싸지 않게 찾아볼게.
A: 수영장이나 레저 시설은 꼭 가야 할 것 같아.
B: 그럼 수영장은 어디로 가?
A: 그건 또 가서 생각해 봐야겠다. 그리고 비행기 티켓은 어떻게 해야 되지?
B: 아 그건 나중에 생각하자. ","A: 그래, 비행기 티켓은 필요 없어. 걸어서 가자!",Sarcasm,"비행기 티켓이 여행 준비의 가장 중요한 부분인데, 이를 마지막에 생각하자고 하는 B의 말에 실제로는 부정적인 상황인데, 이 상황을 긍정적인 방향으로 비꼬아 말한다."
"B: 오늘 점심에 무엇을 드시고 싶으세요?
A: 엽떡이나 신전 떡볶이가 좋을 것 같아요.
B: 저는 사실 로제 파스타가 먹고 싶었는데요.
A: 아, 제가 로제를 별로 좋아하지 않아서요.","B: 아, 다행이네요. 제가 맛있게 먹겠습니다.",Non-Sarcasm,"이 대화는 서로의 식사 선호를 진지하게 이야기하는 내용으로, 비꼬거나 풍자는 없고 직접적인 의사소통이 이루어졌기 때문에 non-sarcasm이다. A는 자신의 취향을 솔직하게 표현하였고, B도 기분 나빠하지 않고 긍정적으로 반응하였다."
"A: 오늘 브런치 먹으러 어디 갈까?
B: 용산 쪽에 맛있는 브런치 카페 알아?
A: 용산 쪽이라면.. '바이 더 웨이'라는 곳이 좋다고 들었어.
B: 그거 맛있다던데? 알아봐봐.
A: 아 맞아, 그곳은 예약해야 해.
B: 어떻게 예약해?
A: 인터넷으로 하면 돼. 아니면 전화로도 가능해.
B: 전화로 예약하면 어려워. 인터넷으로 하는 게 낫지.","A: 그래, 인터넷 예약은 정말 손가락 굴리기만 하면 되니까.",Sarcasm,"B가 인터넷으로 예약하는 게 편하다는 마지막 말에, 실제로는 그게 더 복잡한 상황인데 이 상황을 간단한 것처럼 비꼬아 말한다."
"B: 집에서 베이킹을 좋아하시는군요. 가스오븐이 있으신가요?
A: 아니요, 가스오븐을 쓰다가 인덕션으로 바꿨어요.
B: 그럼 베이킹은 어떻게 하시나요? 인덕션으로도 가능한가요?
A: 아뇨, 그래서 베이킹은 못하고 있어요.","B: 아, 그렇군요. 케이크가 그립지 않으신가 봐요.",Sarcasm,"상대방이 인덕션으로 바꿔서 베이킹을 못하고 있다는 말에 대해 실제로는 부정적인 상황인데, 이를 긍정적인 방향으로 비꼬아 말한다."
"A: 저번에 교촌치킨 시켜드셨다며요?
B: 네, 그렇습니다. 사실 교촌치킨을 많이 좋아하거든요.
A: 어떤 메뉴를 가장 좋아하시나요?
B: 저는 교촌의 간장치킨이 제일 맛있더라고요. 
A: 그렇군요, 근데 많이 달지 않나요?
B: 아뇨, 그런 부분은 전혀 신경 쓰지 않아요.","A: 오호, 당신은 정말 건강에 신경을 안 쓰시는군요.",Sarcasm,"A가 B에게 단 간장치킨을 먹는 것에 대해 부정적인 의견을 표현한 후, B가 단 간장치킨에 대한 부정적인 요소를 전혀 신경 쓰지 않는다고 말하면, A는 B의 이런 태도를 비꼬아 답한다."
"B: 요즘 어떻게 지내시나요?
A: 아무래도 요즘 기분이 좋지 않아서 좀 예민해지는 것 같아요.
B: 그런가요? 왜 그런지 아시나요?
A: 그냥 사소한 일에도 화가 나고, 누군가가 저를 신경 쓰지 않는 것 같아요.",B: 그럼 이제 세상 모든 사람들이 당신을 신경 써야 하는 건가요?,Sarcasm,"B가 자신이 예민해진 이유로 '누군가가 저를 신경 쓰지 않는다'라고 했을 때, 실제로는 사람들이 B를 많이 신경 쓰고 있음에도 불구하고 그렇게 느낄 수 있음을 비꼬아 말한다."
"A: 오늘 저녁에 어떤 요리를 먹어볼까요?
B: 그냥 우리 집에서 고기 파티하자.
A: 좋아요. 어떤 고기를 구워볼까요?
B: 양념갈비 좋지 않을까?
A: 그럼 저녁 준비는 제가 하고, 정리는 당신이 하겠어요?
B: 아니, 고기 굽는 것도 힘들고, 청소는 더 힘들잖아.","A: 네, 그럼 청소는 제가 하면서 운동도 같이 하겠어요.",Sarcasm,"B가 고기를 굽는 것도 힘들고 청소는 더 힘들다고 했을 때, 실제로는 부정적인 상황인데, 이 상황을 긍정적인 방향으로 비꼬아 말한다."
B: 만약에 제가 물어보아도 괜찮을까요? 당신의 나이는 얼마나 되시나요?,A: 저는 AI라서 나이라는 개념이 적용되지 않아요.,Non-Sarcasm,"이 대화에서 A는 자신의 정체성을 명확하게 설명하며 나이와 관련된 개념이 자신에게 적용되지 않음을 진지하게 전달하고 있다. 따라서 비꼬거나 풍자하는 것이 아닌, 직접적이고 진솔한 의사소통으로 볼 수 있다."
"A: 너는 종이책 좋아해?
B: 응, 나는 종이책 냄새와 그 편안함이 좋아. 그리고 추리소설이나 기묘한 이야기들을 좋아해.
A: 그렇구나. 추리소설은 어떤 게 좋아?",B: 내가 가장 좋아하는 것은 괴물이 나오는 거야. 실제로는 존재하지 않지만 상상 속에서는 현실로 만들 수 있는 게 좋아.,Non-Sarcasm,"이 대화는 상대방의 취향에 대해 진지하게 질문하고 대답하는 형식으로 진행되어, 감정이나 태도를 풍자하거나 비꼬지 않고 솔직하게 표현하고 있다. 따라서 비꼬거나 풍자가 아닌 진지하고 직접적인 의사소통이다."
"B: 이렇게 늦은 시간까지 열심히 일하시는군요.
A: 네, 야근이 좀 있어서요.
B: 아, 그럼 저녁은 어떻게 드실 계획이세요?
A: 일이 끝나면 먹을 생각인데요, 아마도 배달 음식을 시킬 것 같아요.","B: 건강에 참 좋겠어요, 매일 밤 배달음식.",Sarcasm,배달 음식을 먹을 것 같다는 B의 말에 건강에 좋지 않은 식습관인 것을 긍정적으로 보는 듯이 비꼬아 말한다.
"A: 최근 여자 배구 선수들이 예능에 많이 나오더군요. 
B: 그렇죠, 특히 김희진, 양효진, 김연경 선수들이 많이 화제가 되었죠.
A: 아, 그분들은 정말 예능도 잘하고, 배구도 잘하는 것 같아요.
B: 저도 그렇게 생각합니다. 특히 양효진 선수의 코믹한 모습은 예능에서 빛을 발하더군요.",A: 이런 식으로 가다 보면 배우로 전향해야겠어요.,Non-Sarcasm,"이 대화는 상대방에 대한 긍정적인 평가와 의견을 주고받고 있으며, 특히 예능에서의 활약에 대해 진지하게 이야기하고 있기 때문에 비꼼이나 풍자가 아니다. 또한, A의 말도 일종의 진지한 유머로, 상황에 대한 진심 어린 관찰을 드러내고 있다."
"A: 요즘 어때? 괜찮아?
B: 배가 좀 아파. 아마 배탈 걸린 것 같아.
A: 그럼 병원에 가보는 게 어때?
B: 일이 너무 바빠서 병원에 가기가 어려워.","A: 우와, 너 진짜 업무에 전념하는 모습 멋지다.",Sarcasm,"B가 건강을 소홀히 하고 일에만 치중하고 있다는 것을 부정적인 상황인데, 이를 비꼬아 긍정적인 방향으로 표현한다."
"A: 헬스에 꽂혔다더니, 잘 돼가?
B: 음... 그런 건 아니고. 목표를 세워서 꾸준히 하는 중이야.
A: 그럼 얼마나 증가시킨 거야?
B: 몸무게가 5kg 정도 증가했어.
A: 뭐야, 그럼 엄청 잘되고 있잖아!
B: 그건 아니고... 복부 지방이 증가한 거야...","A: 와, 복근 만들기 위한 첫걸음이네!",Sarcasm,"상대방이 복부 지방이 증가했다는 부정적인 상황을, 오히려 운동의 성과로 긍정적으로 비꼬아 말한다."
"B: 백신 접종은 잘 받으셨나요?
A: 네, 아스트라제네카로 변경해서 안전하게 접종을 마쳤습니다.
B: 원래 화이자를 받으시려고 하셨다는 말씀이었는데 왜 변경하셨나요?",A: 화이자 2차 접종 후에 부작용이 심해서 아스트라제네카로 변경했습니다.,Non-Sarcasm,"이 대화는 백신 접종에 대한 진지한 질문과 대답이 오가기 때문에 non-sarcasm이다. A는 개인적인 경험을 바탕으로 결정을 설명하고 있으며, B는 그에 대한 궁금증을 정중하게 표현하고 있다."
"A: 이번 주말에 새로 개봉한 영화 보러 가실 생각이세요?
B: 네, 그래서 그런데요. 같이 가실래요?
A: 그럼요. 좋아요. 영화 후에 저녁 식사도 같이 하면 어떨까요?
B: 그것도 좋은 생각입니다. 하지만 제가 요리를 해야 해서 식사는 제가 준비할게요.","A: 그럼요, 제가 정말로 당신의 요리 실력을 기대하고 있어요.",Non-Sarcasm,"이 대화에서는 A와 B가 영화 관람과 식사에 대해 진지하게 대화를 나누며 서로의 의견을 존중하는 모습이 드러난다. 또한, A의 반응은 B의 요리 실력에 대한 기대감을 표현하고 있어 비꼬는 것이 아니라 진정한 관심을 나타낸다."
"B: 결혼에 대해서 어떻게 생각하세요?
A: 저는 사랑하는 사람과 나중에 정말로 준비가 됐을 때 결혼하고 싶어요.
B: 그런데 부모님이 언제쯤 결혼하길 바라시나요?
A: 아마도 부모님은 제가 빨리 결혼하길 원하실 것 같아요.",B: 그러니까 부모님께서 참으로 애정이 깊으시군요.,Non-Sarcasm,"이 대화는 A가 결혼에 대한 자신의 생각을 솔직하게 표현하고, B가 부모님의 기대에 대해 진지하게 질문하며 대답하는 방식으로 진행되어 비꼬거나 풍자가 아닌 직접적인 의사소통으로 보인다. A와 B 모두 서로의 의견과 감정을 존중하며 대화하고 있다."
"B: 찜닭 요리는 어떻게 하나요?
A: 보통 양념장에 소금, 설탕, 고추장 등을 섞어 만듭니다.
B: 아 그런데 단맛이 나지 않는 찜닭은 어떻게 만드나요?
A: 설탕을 넣지 않거나 줄이면 됩니다. 그러면 단짝 짭짤한 맛이 나겠죠.","B: 아, 그러니까 설탕 없는 커피처럼 단맛이 없는 찜닭을 만들어 보라는 거군요.",Non-Sarcasm,"이 대화는 상대방이 요리 방법에 대한 직접적인 질문을 하고 A가 구체적인 조언을 제공하므로 비꼬기나 풍자가 아닌 진지한 의사소통이다. 또한, 두 사람 모두 명확한 정보 교환을 하고 있어 의도가 분명하다."
"A: 안녕하세요. 송주 불 냉면을 추천드립니다.
B: 송주 불 냉면이요? 그것은 어떤 음식인가요?
A: 송주 불 냉면은 매운 불고기와 함께 식감 좋은 냉면이 들어간 음식입니다.
B: 저는 매운 음식을 잘 못 먹어서요.
A: 아, 그렇군요. 그럼 매운맛을 조금 줄여드릴 수 있습니다.
B: 아니요, 그래도 괜찮아요. 제가 매운 것을 좀 더 연습해 볼게요.","A: 아, 그렇군요. 그럼 매운 것에 대한 내성이 생기겠네요.",Sarcasm,"상대방이 매운 음식을 잘 못 먹는다며 걱정하는 상황에, 실제로는 그게 힘들 것을 알면서도 긍정적인 방향으로 비꼬아 말한다."
"B: 이번 주말에 시간 있으세요?
A: 그럼 왜?
B: 제가 알아본 곳이 있는데요, 홍대에 있는 '민트 하임'이라는 곳이에요. 여기 민트 초코 디저트가 정말 맛있다고 하더라고요.
A: 그래? 나 민트 초코 안 좋아하는데?","B: 그럼 당신을 위해 찾아봤던 거죠, 반갑게 생각하겠어요.",Sarcasm,상대방이 민트 초코를 좋아하지 않는데도 불구하고 민트 초코 맛집을 추천하는 A의 행동을 놀림 달게 비꼬아 말한다.
"B: 다음 달에 외국 여행 가는 계획 있어?
A: 그래, 한 번 가보고 싶던 러시아 가려고.
B: 와, 러시아면 보드카 많이 마셔야지.
A: 아니, 나는 맥주나 와인 즐기려고.",B: 러시아에 가서 맥주랑 와인 마시려고? 아주 특별하네.,Sarcasm,"상대방이 러시아에서 보드카 대신 맥주나 와인을 마시겠다고 할 때, 실제로는 러시아에 가서 보드카를 즐기는 것이 일반적인데 이를 반대로 비꼬아 말한다."
"B: 당신은 군대에 가셨나요?
A: 네, 저는 과거에 육군으로 복무하였습니다. 
B: 그럼 군 생활에 대한 경험이 많으시겠군요. 어떠셨나요?
A: 많은 일이 있었지만, 전체적으로 좋았습니다. 특히 친구들과의 우정을 키울 수 있는 시간이었습니다.
B: 저는 최근에 '디피'라는 군대 영화를 보았는데, 실제 군 생활과 비슷하다고 하더군요. 당신은 어떻게 생각하시나요?
A: 저도 그 영화를 봤는데, 실제 군 생활과 완벽하게 일치하지는 않습니다만, 일부분은 공감 가는 부분도 있었습니다.","B: 아, 그렇군요. 그러니까 영화가 실제 군 생활을 100% 정확하게 묘사했다는 거네요.",Sarcasm,"마지막 B의 대화에서 '디피' 영화가 실제 군 생활과 일부분만 공감 간다고 했을 때, 영화가 실제와 전혀 다르다는 것을 아주 정확하게 묘사했다고 비꼬아 말한다."
"A: 이번에 극장에서 볼 만한 영화 추천해 주실 수 있으실까요?
B: 저는 최근에 ""트루 스토리""라는 영화를 봤는데요, 진짜 실화를 바탕으로 만들었다고 해서 굉장히 신선하고 재미있었습니다.
A: 아, 그 영화 제가 예매하려고 했던 그 영화인가요?
B: 네, 그런 것 같습니다. 개인적으로 추천드립니다.
A: 그럼 바로 예매하러 갈게요!","B: 아, 정말요? 제가 추천하지 않았다면 당신은 절대로 그 영화를 예매하지 않았을 테죠!",Sarcasm,"상대방이 극장에서 볼 만한 영화로 '트루 스토리'를 추천했지만, A는 이미 그 영화를 예매하려고 했던 상태였다. 따라서 B의 추천은 사실상 필요하지 않았던 상황이었다. 이런 상황을 비꼬기 위해 B는 A의 말을 듣고 나서, 이미 알고 있는 것을 새롭게 알게 된 것처럼 반응하는 비꼬는 말을 할 수 있다."
"B: 혼자 사는 건 어떠세요?
A: 아무래도 가족과 같이 사는 것과는 달라서 좋은 점도 있고 힘든 점도 있어요.
B: 좋은 점은 뭐가 있을까요?
A: 일단은 나의 시간을 자유롭게 할 수 있다는 것이 가장 큰 장점이에요.
B: 그렇다면 힘든 점은 무엇인가요?
A: 외로움을 가장 많이 느껴요. 때론 누군가와 이야기하고 싶어도 주변에 그럴 사람이 없다는 게 힘들죠.","B: 그런데, 혼자 있으면서 모든 생각을 정리할 수 있어서 좋지 않나요?",Sarcasm,"마지막으로 B가 말한 외로움이 큰 단점이라는 말에 대해, 그것이 좋은 점이라고 비꼬아 대답한다."
"A: 비대면 수업은 어떤 방식으로 진행되나요?
B: 녹화된 강의를 시청하거나 실시간으로 강의를 듣는 방식이 있습니다.
A: 그렇군요. 혹시 대면 수업 예정은 어떻게 되나요?
B: 아직 대면 수업 예정은 없습니다. 아마도 앞으로도 계속 비대면으로 진행될 것 같습니다.
A: 아, 그렇군요. 저는 사실 대면 수업을 선호하는 편인데, 그게 아니라서 좀 짜증이 나네요.","B: 아, 그럼 정말로 비대면 수업이 참 재미있으시겠군요.",Sarcasm,"A가 대면 수업을 선호하고 비대면 수업에 대해 불만을 표현했을 때, 이 상황을 A가 비대면 수업을 정말 좋아한다는 것처럼 비꼬아 말한다."
"A: 최근에 블랙프라이데이 할인 행사를 이용하셨나요?
B: 네, 이번에 음식물 쓰레기통을 구매했습니다.
A: 아주 좋은 선택이십니다. 환경 보호에 기여하게 되는군요.
B: 네, 그리고 청소기도 새로 구매했습니다. 정말 큰 할인을 받았어요.","A: 우와, 당신은 정말 돈을 아끼는 법을 잘 아시네요.",Non-Sarcasm,"이 대화는 상대의 선택에 대해 긍정적으로 반응하고 칭찬하는 내용으로, 비꼬기나 풍자가 아닌 진정한 의사소통이기 때문이다. 또한, 상대방의 구매가 환경 보호에 기여한다는 점을 존중하며 이야기하고 있다."
"B: 어, 내 인터넷 왜 멈췄어?
A: 아무래도 세트에서 뭔가 문제가 생긴 것 같아.
B: 너한테 부탁했던 것처럼, 세트 금방 멈추게 해줘.","A: 응, 그럼 꺼버릴게. 아마 다시 켜면 될 거야.",Non-Sarcasm,"이 대화는 두 사람이 서로의 문제를 진지하게 해결하려고 하며, 직접적인 의사소통을 통해 상황을 파악하고 있다. A와 B의 대화는 진지하게 문제를 다루고 있어 비꼬거나 풍자가 아닌 것으로 보인다."
"A: 요즘 어때? 대상포진 증상이 좀 나아지고 있어?
B: 아니, 아직도 정말 아파. 약 먹는 것도 지겹고...
A: 병원 다녀볼 생각은 없어?
B: 아냐, 병원 가면 병원비만 더 나가. 그냥 참아보려고.","A: 그래, 건강은 돈이랑 비교할 수 없으니까.",Sarcasm,"실제로는 병원에 가야 하는 상황인데, 돈을 아끼기 위해 참는다고 하므로 이를 건강에 돈을 아끼는 것처럼 비꼬아 말한다."
"A: 내가 인터넷으로 물건 주문했는데, 같은 상품이 두 개 더 왔어.
B: 아니, 어떻게 그럴 수 있지? 
A: 그래서 나도 모르겠어. 이제 이걸 어떻게 처리해야 할지 고민 중이야.
B: 팔아버리는 게 어때?","A: 응, 그래야겠다. 갑자기 비즈니스가 생긴 것 같네.",Non-Sarcasm,이 대화는 A가 겪고 있는 상황에 대한 진지한 고민을 공유하고 B가 실질적인 해결책을 제안하기 때문에 non-sarcasm이다. A의 반응도 긍정적이며 상황을 실제로 받아들이고 있음을 나타낸다.
